"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6156","User Registration test","firefox","Sun Jun 01 22:38:00 IST 2025","failed","Sun Jun 01 22:38:07 IST 2025","","AccountRegistration.spec.ts","",""
"","2808","User Registration test","chromium","Sun Jun 01 22:54:26 IST 2025","passed","Sun Jun 01 22:54:28 IST 2025","","AccountRegistration.spec.ts","",""
"","4600","User Login test","chromium","Mon Jun 02 09:37:55 IST 2025","passed","Mon Jun 02 09:37:59 IST 2025","","Login.spec.ts","",""
"","7986","User Registration test","webkit","Sun Jun 01 22:38:00 IST 2025","failed","Sun Jun 01 22:38:08 IST 2025","","AccountRegistration.spec.ts","",""
"","4517","User Login test @master @sanity @regression","chromium","Mon Jun 02 14:04:43 IST 2025","passed","Mon Jun 02 14:04:48 IST 2025","","Login.spec.ts","",""
